"","category","location","years","value"
"1","가오리류","부산광역시",1970,2533
"2","가오리류","경기도",1970,383
"3","가오리류","강원도",1970,191
"4","가오리류","충청남도",1970,451
"5","가오리류","전라북도",1970,75
"6","가오리류","전라남도",1970,1934
"7","가오리류","경상북도",1970,313
"8","가오리류","경상남도",1970,1789
"9","가오리류","제주도",1970,22
"10","가자미류","부산광역시",1970,5552
"11","가자미류","경기도",1970,3457
"12","가자미류","강원도",1970,496
"13","가자미류","충청남도",1970,624
"14","가자미류","전라북도",1970,506
"15","가자미류","전라남도",1970,3219
"16","가자미류","경상북도",1970,2476
"17","가자미류","경상남도",1970,5318
"18","갈치","부산광역시",1970,9412
"19","갈치","경기도",1970,20578
"20","갈치","강원도",1970,0
"21","갈치","충청남도",1970,4522
"22","갈치","전라북도",1970,11539.3
"23","갈치","전라남도",1970,14725
"24","갈치","경상북도",1970,0
"25","갈치","경상남도",1970,8219
"26","갈치","제주도",1970,87
"27","강달이류","부산광역시",1970,0
"28","강달이류","경기도",1970,0
"29","강달이류","충청남도",1970,229
"30","강달이류","전라북도",1970,368
"31","강달이류","전라남도",1970,5208
"32","강달이류","경상남도",1970,99
"33","고등어","부산광역시",1970,30083
"34","고등어","경기도",1970,678
"35","고등어","강원도",1970,329
"36","고등어","충청남도",1970,306
"37","고등어","전라북도",1970,376
"38","고등어","전라남도",1970,2119
"39","고등어","경상북도",1970,321
"40","고등어","경상남도",1970,2896
"41","고등어","제주도",1970,1148
"42","꽁치","부산광역시",1970,2446
"43","꽁치","경기도",1970,1
"44","꽁치","강원도",1970,6130
"45","꽁치","전라남도",1970,78
"46","꽁치","경상북도",1970,16151
"47","꽁치","경상남도",1970,230
"48","꽁치","제주도",1970,0
"49","학공치","부산광역시",1970,1
"50","학공치","강원도",1970,0
"51","학공치","충청남도",1970,0
"52","학공치","전라북도",1970,0
"53","학공치","전라남도",1970,58
"54","학공치","경상북도",1970,11
"55","학공치","경상남도",1970,169
"56","학공치","제주도",1970,0
"57","넙치류","부산광역시",1970,559
"58","넙치류","경기도",1970,437
"59","넙치류","강원도",1970,42
"60","넙치류","충청남도",1970,120
"61","넙치류","전라북도",1970,223
"62","넙치류","전라남도",1970,480
"63","넙치류","경상북도",1970,22
"64","넙치류","경상남도",1970,1236
"65","넙치류","제주도",1970,4
"66","노가리","강원도",1970,0
"67","노가리","경상북도",1970,0
"68","노가리","경상남도",1970,0
"69","농어류","부산광역시",1970,34
"70","농어류","경기도",1970,54
"71","농어류","강원도",1970,2
"72","농어류","충청남도",1970,59
"73","농어류","전라북도",1970,13.4
"74","농어류","전라남도",1970,93
"75","농어류","경상북도",1970,3
"76","농어류","경상남도",1970,164
"77","농어류","제주도",1970,16
"78","눈볼대","부산광역시",1970,1244
"79","눈볼대","경기도",1970,13
"80","눈볼대","강원도",1970,17
"81","눈볼대","전라남도",1970,0
"82","눈볼대","경상남도",1970,261
"83","능성어","부산광역시",1970,235
"84","능성어","경기도",1970,0
"85","능성어","충청남도",1970,1
"86","능성어","전라남도",1970,3
"87","능성어","경상남도",1970,81
"88","능성어","제주도",1970,39
"89","기타다랑어류","강원도",1970,0
"90","기타다랑어류","충청남도",1970,0
"91","기타다랑어류","전라남도",1970,0
"92","기타다랑어류","경상북도",1970,265
"93","기타다랑어류","경상남도",1970,13
"94","기타다랑어류","제주도",1970,0
"95","도루묵","부산광역시",1970,1880
"96","도루묵","경기도",1970,0
"97","도루묵","강원도",1970,8123
"98","도루묵","전라북도",1970,0
"99","도루묵","전라남도",1970,0
"100","도루묵","경상북도",1970,5644
"101","도루묵","경상남도",1970,463
"102","대구","부산광역시",1970,1317
"103","대구","경기도",1970,490
"104","대구","강원도",1970,190
"105","대구","전라북도",1970,62
"106","대구","전라남도",1970,0
"107","대구","경상북도",1970,322
"108","대구","경상남도",1970,372
"109","감성돔","부산광역시",1970,13
"110","감성돔","강원도",1970,0
"111","감성돔","충청남도",1970,0
"112","감성돔","전라남도",1970,17
"113","감성돔","경상남도",1970,300
"114","감성돔","제주도",1970,16
"115","옥돔","전라남도",1970,0
"116","옥돔","경상남도",1970,9
"117","옥돔","제주도",1970,34
"118","참돔","부산광역시",1970,179
"119","참돔","경기도",1970,24
"120","참돔","강원도",1970,13
"121","참돔","충청남도",1970,14
"122","참돔","전라북도",1970,57
"123","참돔","전라남도",1970,193
"124","참돔","경상북도",1970,1
"125","참돔","경상남도",1970,230
"126","참돔","제주도",1970,81
"127","기타돔류","부산광역시",1970,201
"128","기타돔류","경기도",1970,0
"129","기타돔류","강원도",1970,8
"130","기타돔류","충청남도",1970,98
"131","기타돔류","전라북도",1970,0
"132","기타돔류","전라남도",1970,290
"133","기타돔류","경상북도",1970,0
"134","기타돔류","경상남도",1970,96
"135","기타돔류","제주도",1970,0
"136","매퉁이류","부산광역시",1970,0
"137","매퉁이류","충청남도",1970,14
"138","매퉁이류","전라북도",1970,0
"139","매퉁이류","전라남도",1970,109
"140","매퉁이류","경상북도",1970,0
"141","매퉁이류","경상남도",1970,129
"142","멸치","부산광역시",1970,1077
"143","멸치","경기도",1970,154
"144","멸치","강원도",1970,1470
"145","멸치","충청남도",1970,81
"146","멸치","전라북도",1970,165
"147","멸치","전라남도",1970,7346
"148","멸치","경상북도",1970,1948
"149","멸치","경상남도",1970,39996
"150","멸치","제주도",1970,1810
"151","명태","부산광역시",1970,2004
"152","명태","강원도",1970,9297
"153","명태","전라남도",1970,0
"154","명태","경상북도",1970,2114
"155","명태","경상남도",1970,3
"156","민어","부산광역시",1970,385
"157","민어","경기도",1970,185
"158","민어","충청남도",1970,209
"159","민어","전라북도",1970,16
"160","민어","전라남도",1970,609
"161","민어","경상남도",1970,130
"162","민어","제주도",1970,63
"163","방어류","부산광역시",1970,123
"164","방어류","경기도",1970,28
"165","방어류","강원도",1970,314
"166","방어류","충청남도",1970,0
"167","방어류","전라북도",1970,0
"168","방어류","전라남도",1970,20
"169","방어류","경상북도",1970,1015
"170","방어류","경상남도",1970,116
"171","방어류","제주도",1970,102
"172","뱅어류","부산광역시",1970,0
"173","뱅어류","경기도",1970,22
"174","뱅어류","충청남도",1970,632
"175","뱅어류","전라남도",1970,1
"176","뱅어류","경상남도",1970,122
"177","병어류","부산광역시",1970,619
"178","병어류","경기도",1970,1462
"179","병어류","충청남도",1970,242
"180","병어류","전라북도",1970,1142.5
"181","병어류","전라남도",1970,1130
"182","병어류","경상북도",1970,0
"183","병어류","경상남도",1970,131
"184","보리멸","충청남도",1970,0
"185","보리멸","전라북도",1970,0
"186","보리멸","전라남도",1970,0
"187","보리멸","경상남도",1970,0
"188","복어류","부산광역시",1970,372
"189","복어류","경기도",1970,338
"190","복어류","강원도",1970,20
"191","복어류","충청남도",1970,198
"192","복어류","전라북도",1970,277
"193","복어류","전라남도",1970,356
"194","복어류","경상북도",1970,8
"195","복어류","경상남도",1970,2526
"196","복어류","제주도",1970,1
