,8월,9월,10월,11월,12월
강남구,0.84pt,-0.17pt,0.35pt,0.73pt,1.7pt
서초구,0.27pt,-0.21pt,0.06pt,0.4pt,1.46pt
송파구,1.01pt,0.15pt,1.21pt,0.83pt,2.34pt
종로구,0.69pt,0.12pt,0.28pt,0.42pt,0.22pt
중구,0.6pt,0.17pt,0.25pt,0.51pt,0.65pt
용산구,0.7pt,0.06pt,0.14pt,0.24pt,0.21pt
성동구,0.35pt,-0.36pt,0.12pt,0.69pt,1.59pt
광진구,0.64pt,0.13pt,0.47pt,0.61pt,1.57pt
동대문구,0.29pt,0.15pt,0.1pt,0.2pt,0.16pt
중랑구,0.28pt,0.03pt,0.12pt,0.18pt,0.12pt
성북구,0.5pt,0.24pt,0.28pt,0.26pt,0.28pt
강북구,0.33pt,0.12pt,0.19pt,0.18pt,0.4pt
도봉구,0.41pt,0.09pt,0.12pt,0.21pt,0.14pt
노원구,0.57pt,-0.23pt,0.06pt,0.1pt,0.15pt
은평구,0.39pt,0.13pt,0.12pt,0.24pt,0.17pt
서대문구,0.29pt,0.15pt,0.18pt,0.23pt,0.32pt
마포구,0.52pt,0.15pt,0.2pt,0.28pt,0.35pt
양천구,0.74pt,-0.15pt,0.1pt,0.69pt,2.03pt
강서구,0.85pt,-0.04pt,0.14pt,0.56pt,0.37pt
구로구,0.5pt,0.13pt,0.25pt,0.4pt,0.34pt
금천구,0.81pt,-0.02pt,0.13pt,0.11pt,0.06pt
영등포구,0.58pt,0.13pt,0.22pt,0.44pt,1.03pt
동작구,1.03pt,-0.01pt,0.16pt,0.78pt,0.58pt
관악구,0.5pt,0.14pt,0.18pt,0.3pt,0.17pt
강동구,0.75pt,-0.19pt,0.38pt,0.32pt,1.2pt
