year,구분,gender,실인원,고혈압,당뇨,이상지질혈증,폐결핵
2012,종로구,합계,"6,472","5,113","1,876","1,215",133
2012,종로구,남자,"3,251","2,541","1,054",412,88
2012,종로구,여자,"3,221","2,572",822,803,45
2012,중구,합계,"5,328","4,189","1,656",831,58
2012,중구,남자,"2,751","2,140",918,308,37
2012,중구,여자,"2,577","2,049",738,523,21
2012,용산구,합계,"7,975","6,342","2,390","1,501",58
2012,용산구,남자,"4,001","3,200","1,298",551,32
2012,용산구,여자,"3,974","3,142","1,092",950,26
2012,성동구,합계,"11,596","9,280","3,547","1,913",161
2012,성동구,남자,"5,972","4,742","2,033",634,87
2012,성동구,여자,"5,624","4,538","1,514","1,279",74
2012,광진구,합계,"12,634","9,973","3,732","2,123",226
2012,광진구,남자,"6,723","5,340","2,181",787,124
2012,광진구,여자,"5,911","4,633","1,551","1,336",102
2012,동대문구,합계,"14,580","11,722","4,352","2,627",216
2012,동대문구,남자,"7,513","6,009","2,517",971,118
2012,동대문구,여자,"7,067","5,713","1,835","1,656",98
2012,중랑구,합계,"16,656","13,184","5,017","2,817",176
2012,중랑구,남자,"8,858","6,987","2,949","1,063",123
2012,중랑구,여자,"7,798","6,197","2,068","1,754",53
2012,성북구,합계,"18,679","15,036","5,389","3,436",263
2012,성북구,남자,"9,420","7,586","3,033","1,254",156
2012,성북구,여자,"9,259","7,450","2,356","2,182",107
2012,강북구,합계,"14,777","12,053","4,424","2,444",127
2012,강북구,남자,"7,372","5,997","2,406",847,75
2012,강북구,여자,"7,405","6,056","2,018","1,597",52
2012,도봉구,합계,"15,033","12,007","4,427","2,458",183
2012,도봉구,남자,"8,258","6,593","2,728","1,031",115
2012,도봉구,여자,"6,775","5,414","1,699","1,427",68
2012,노원구,합계,"22,431","17,874","6,297","4,342",199
2012,노원구,남자,"11,940","9,557","3,686","1,692",126
2012,노원구,여자,"10,491","8,317","2,611","2,650",73
2012,은평구,합계,"19,013","15,376","5,644","3,127",121
2012,은평구,남자,"9,724","7,851","3,190","1,125",70
2012,은평구,여자,"9,289","7,525","2,454","2,002",51
2012,서대문구,합계,"12,695","10,268","3,613","2,604",102
2012,서대문구,남자,"6,245","5,055","1,980",877,62
2012,서대문구,여자,"6,450","5,213","1,633","1,727",40
2012,마포구,합계,"14,041","11,343","3,971","2,472",201
2012,마포구,남자,"7,130","5,727","2,237",885,124
2012,마포구,여자,"6,911","5,616","1,734","1,587",77
2012,양천구,합계,"16,091","12,698","4,509","2,288",267
2012,양천구,남자,"9,007","7,077","2,760",976,169
2012,양천구,여자,"7,084","5,621","1,749","1,312",98
2012,강서구,합계,"21,346","17,211","6,235","3,097",288
2012,강서구,남자,"11,279","9,077","3,603","1,187",206
2012,강서구,여자,"10,067","8,134","2,632","1,910",82
2012,구로구,합계,"16,542","13,420","4,680","2,236",317
2012,구로구,남자,"8,873","7,149","2,717",869,202
2012,구로구,여자,"7,669","6,271","1,963","1,367",115
2012,금천구,합계,"9,215","7,465","2,722","1,107",77
2012,금천구,남자,"4,867","3,894","1,564",449,54
2012,금천구,여자,"4,348","3,571","1,158",658,23
2012,영등포구,합계,"14,852","11,674","4,289","2,412",157
2012,영등포구,남자,"7,953","6,239","2,552",952,105
2012,영등포구,여자,"6,899","5,435","1,737","1,460",52
2012,동작구,합계,"14,310","11,415","3,911","2,214",139
2012,동작구,남자,"7,457","5,889","2,276",835,78
2012,동작구,여자,"6,853","5,526","1,635","1,379",61
2012,관악구,합계,"17,597","14,434","4,782","2,252",122
2012,관악구,남자,"9,165","7,485","2,727",858,76
2012,관악구,여자,"8,432","6,949","2,055","1,394",46
2012,서초구,합계,"11,409","8,673","2,988","2,187",127
2012,서초구,남자,"6,615","5,030","1,967",979,92
2012,서초구,여자,"4,794","3,643","1,021","1,208",35
2012,강남구,합계,"15,468","12,020","3,982","2,842",158
2012,강남구,남자,"8,718","6,833","2,546","1,177",94
2012,강남구,여자,"6,750","5,187","1,436","1,665",64
2012,송파구,합계,"20,682","16,190","5,723","3,677",186
2012,송파구,남자,"11,528","9,036","3,587","1,494",119
2012,송파구,여자,"9,154","7,154","2,136","2,183",67
2012,강동구,합계,"17,393","13,502","5,053","3,393",125
2012,강동구,남자,"9,440","7,367","3,086","1,363",91
2012,강동구,여자,"7,953","6,135","1,967","2,030",34
2013,종로구,합계,"6,208","4,912","1,810","1,282",103
2013,종로구,남자,"3,176","2,534","1,036",462,59
2013,종로구,여자,"3,032","2,378",774,820,44
2013,중구,합계,"5,411","4,289","1,730",937,49
2013,중구,남자,"2,765","2,165",982,351,22
2013,중구,여자,"2,646","2,124",748,586,27
2013,용산구,합계,"8,367","6,583","2,518","1,724",46
2013,용산구,남자,"4,295","3,342","1,447",662,34
2013,용산구,여자,"4,072","3,241","1,071","1,062",12
2013,성동구,합계,"12,440","10,040","3,700","2,181",172
