"","ASR","category","type","rankings","iso","name"
"1",111.9,"breast","incidence",1,"BEL","Belgium"
"2",28.4,"breast","mortality",1,"FJI","Fiji"
"3",51.6,"lung","incidence",1,"HUN","Hungary"
"4",43.3,"lung","mortality",1,"HUN","Hungary"
"5",78.1,"liver","incidence",1,"MNG","Mongolia"
"6",25.3,"liver","mortality",1,"MNG","Mongolia"
"7",52.8,"thyroid","incidence",1,"KOR","Republic of Korea"
"8",4.6,"thyroid","mortality",1,"VUT","Vanuatu"
"9",41.8,"stomach","incidence",1,"KOR","Republic of Korea"
"10",25.3,"stomach","mortality",1,"MNG","Mongolia"
"11",45,"colorectum","incidence",1,"KOR","Republic of Korea"
"12",20.8,"colorectum","mortality",1,"HUN","Hungary"
"13",105,"breast","incidence",2,"DNK","Denmark"
"14",26.3,"breast","mortality",2,"BHS","Bahamas"
"15",45.6,"lung","incidence",2,"SRB","Serbia"
"16",40.9,"lung","mortality",2,"PRK","Democratic People's Republic of Korea"
"17",52.6,"liver","incidence",2,"LAO","Lao People's Democratic Republic"
"18",21.4,"liver","mortality",2,"GTM","Guatemala"
"19",22.2,"thyroid","incidence",2,"NCL","New Caledonia"
"20",4.4,"thyroid","mortality",2,"PNG","Papua New Guinea"
"21",32.5,"stomach","incidence",2,"MNG","Mongolia"
"22",21.4,"stomach","mortality",2,"GTM","Guatemala"
"23",42.7,"colorectum","incidence",2,"SVK","Slovakia"
"24",18.7,"colorectum","mortality",2,"HRV","Croatia"
"25",99,"breast","incidence",3,"NLD","Netherlands"
"26",25.9,"breast","mortality",3,"NGA","Nigeria"
"27",44.2,"lung","incidence",3,"PRK","Democratic People's Republic of Korea"
"28",39.1,"lung","mortality",3,"SRB","Serbia"
"29",25.8,"liver","incidence",3,"GMB","Gambia (Islamic Republic of the)"
"30",19.8,"liver","mortality",3,"TJK","Tajikistan"
"31",16.1,"thyroid","incidence",3,"PRI","Puerto Rico"
"32",4.2,"thyroid","mortality",3,"SLB","Solomon Islands"
"33",29.9,"stomach","incidence",3,"JPN","Japan"
"34",19.8,"stomach","mortality",3,"TJK","Tajikistan"
"35",42.3,"colorectum","incidence",3,"HUN","Hungary"
"36",18,"colorectum","mortality",3,"SVK","Slovakia"
"37",98.9,"breast","incidence",4,"BHS","Bahamas"
"38",25.5,"breast","mortality",4,"MKD","The former Yugoslav Republic of Macedonia"
"39",40.8,"lung","incidence",4,"MKD","The former Yugoslav Republic of Macedonia"
"40",36.9,"lung","mortality",4,"MNE","Montenegro"
"41",25.6,"liver","incidence",4,"EGY","Egypt"
"42",19.6,"liver","mortality",4,"KGZ","Kyrgyzstan"
"43",15.2,"thyroid","incidence",4,"PYF","French Polynesia"
"44",2.9,"thyroid","mortality",4,"ETH","Ethiopia"
"45",23.7,"stomach","incidence",4,"GTM","Guatemala"
"46",19.6,"stomach","mortality",4,"KGZ","Kyrgyzstan"
"47",40.5,"colorectum","incidence",4,"DNK","Denmark"
"48",16.6,"colorectum","mortality",4,"SRB","Serbia"
"49",96.3,"breast","incidence",5,"ISL","Iceland"
"50",25.2,"breast","mortality",5,"PAK","Pakistan"
"51",40.1,"lung","incidence",5,"NCL","New Caledonia"
